Código,Escola,end1,Número,end1,Endereco,Bairro,Cidade,DDD,Telefone,CEP,email,Tipo,Lat,Lng
145890,CENTRO EDUCACAO TOP APRENDIZAGEM,R FRIEDRICH W SONNEHOHL,623,"R FRIEDRICH W SONNEHOHL, ","R FRIEDRICH W SONNEHOHL, 623",VILA LALAU,JARAGUÁ DO SUL,47,33701461,89256320,topaprendizagem@yahoo.com.br,Particulares,"-26,549445","-49,158475"
143685,CENTRO INTEGRADO DE EDUCACAO SESI,UA WALTER MARQUARDI,875,"UA WALTER MARQUARDI, ","UA WALTER MARQUARDI, 875",BARRA DO RIO MOLHA,JARAGUÁ DO SUL,47,33729400,89259700,armando@sesijaragua.com.br,Particulares,"-26,502946","-49,090001"
91405,COLEGIO BOM JESUS DIVINA PROVIDENCIA,AV MAR DEODORO DA FONSECA,710,"AV MAR DEODORO DA FONSECA, ","AV MAR DEODORO DA FONSECA, 710",CENTRO,JARAGUÁ DO SUL,47,33710779,89251700,marli.santos@bomjesus.br,Particulares,"-26,4872369","-49,0830717"
91570,COLEGIO EVANGELICO JARAGUA,R ESTHERIA LENZI FRIEDRICH,130,"R ESTHERIA LENZI FRIEDRICH, ","R ESTHERIA LENZI FRIEDRICH, 130",CENTRO,JARAGUÁ DO SUL,4,3713022,89251010,,Particulares,"-26,4800264","-49,0830862"
91561,COLEGIO MARISTA SAO LUIS,AV MAR DEODORO DA FONSECA,520,"AV MAR DEODORO DA FONSECA, ","AV MAR DEODORO DA FONSECA, 520",CENTRO,JARAGUÁ DO SUL,4,3710313,89251700,,Particulares,"-26,4858078","-49,0830864"
148717,COOEPE,RUA GUILHERME WEEGE,237,"RUA GUILHERME WEEGE, ","RUA GUILHERME WEEGE, 237",CENTRO,JARAGUÁ DO SUL,47,3273-0032,89251-610,jaragua@cooepe.com.br,Particulares,"-26,4883588","-49,0803339"
154342,CURSO E COLEGIO CONEXAO LTDA,RUA SEME MATTAR,154,"RUA SEME MATTAR, ","RUA SEME MATTAR, 154",VILA BAEPENDI,JARAGUÁ DO SUL,47,32754957,89256410,direcao.jaragua@ceconexao.com.br,Particulares,"-26,4785677","-49,0791076"
145866,EDUCACAO INF LONI EMMENDOERFER,FREDERICOCURT ALBERTO VASEL,679,"FREDERICOCURT ALBERTO VASEL, ","FREDERICOCURT ALBERTO VASEL, 679",BARRA DO RIO MOLHA,JARAGUÁ DO SUL,47,33705882,89259560,cei.loni.e@gmail.com,Particulares,"-26,5067117","-49,0861526"
149810,ESCOLA DE ED INF ESTACAO APRENDER,R EUGENIO LESSMANN,141,"R EUGENIO LESSMANN, ","R EUGENIO LESSMANN, 141",CENTRO,JARAGUÁ DO SUL,47,3371-0181,89250-030,estacaoaprender141@gmail.com,Particulares,"-26,48227","-49,087091"
145904,ESCOLA INFANTIL GIRASSOL LTDA,R BARAO DO RIO BRANCO,611,"R BARAO DO RIO BRANCO, ","R BARAO DO RIO BRANCO, 611",CENTRO,JARAGUÁ DO SUL,47,33716286,89251400,escolagirassol@brtubo.com.br,Particulares,"-26,491554","-49,077221"
91464,INSTITUTO EDUC JANGADA,R PRES EPITACIO PESSOA,676,"R PRES EPITACIO PESSOA, ","R PRES EPITACIO PESSOA, 676",CENTRO,JARAGUÁ DO SUL,4,3710202,89251100,,Particulares,"-26,476539","-49,0864438"
132810,PDI SESI,R WALTER MARQUARDT,835,"R WALTER MARQUARDT, ","R WALTER MARQUARDT, 835",BARRA RIO DO MO,JARAGUÁ DO SUL,4,3707899,89259700,,Particulares,"-26,5026842","-49,0894195"
136743,SENAI CENTRO DE ED TECNOLOGICA,R ISIDORO PEDRI,263,"R ISIDORO PEDRI, ","R ISIDORO PEDRI, 263",RIO MOLHA,JARAGUÁ DO SUL,4,3707722,89259590,,Particulares,"-26,5047262","-49,088911"
136140,SERVICO NACIONAL DE APRENDIZAGEM COMERCI,R ADELIA FISCHER,303,"R ADELIA FISCHER, ","R ADELIA FISCHER, 303",VILA BAEPENDI,JARAGUÁ DO SUL,4,3700251,89250000,,Particulares,"-26,4789582","-49,077307"
149268,SESC JARAGUA DO SUL,R JORGE CZERNIEWICZ,633,"R JORGE CZERNIEWICZ, ","R JORGE CZERNIEWICZ, 633",CZERNIEWICZ,JARAGUÁ DO SUL,47,3275-7800,89251-000,educacaojs@sesc-sc.com.br,Particulares,"-26,4766902","-49,0828445"
130494,INSTITUTO FEDERAL SC CAMPUS JARAGUA DO SUL,AV GETULIO VARGAS,830,"AV GETULIO VARGAS, ","AV GETULIO VARGAS, 830",CENTRO,JARAGUÁ DO SUL,4,2750911,89254240,,Federais,"-26,3150842","-48,8454756"
